infinitive,gerund,present participle,past participle,compound verb,indicative|present|first person singular,indicative|present|second person singular,indicative|present|third person singular,indicative|present|first person plural,indicative|present|second person plural,indicative|present|third person plural,indicative|imperfect|first person singular,indicative|imperfect|second person singular,indicative|imperfect|third person singular,indicative|imperfect|first person plural,indicative|imperfect|second person plural,indicative|imperfect|third person plural,indicative|past historic|first person singular,indicative|past historic|second person singular,indicative|past historic|third person singular,indicative|past historic|first person plural,indicative|past historic|second person plural,indicative|past historic|third person plural,indicative|future|first person singular,indicative|future|second person singular,indicative|future|third person singular,indicative|future|first person plural,indicative|future|second person plural,indicative|future|third person plural,indicative|conditional|first person singular,indicative|conditional|second person singular,indicative|conditional|third person singular,indicative|conditional|first person plural,indicative|conditional|second person plural,indicative|conditional|third person plural,subjunctive|present|first person singular,subjunctive|present|second person singular,subjunctive|present|third person singular,subjunctive|present|first person plural,subjunctive|present|second person plural,subjunctive|present|third person plural,subjunctive|imperfect|first person singular,subjunctive|imperfect|second person singular,subjunctive|imperfect|third person singular,subjunctive|imperfect|first person plural,subjunctive|imperfect|second person plural,subjunctive|imperfect|third person plural,imperative|first person singular,imperative|second person singular,imperative|third person singular,imperative|first person plural,imperative|second person plural,imperative|third person plural
bioaccumuler,bioaccumulant,bioaccumulant,bioaccumulé,avoir,bioaccumule,bioaccumules,bioaccumule,bioaccumulons,bioaccumulez,bioaccumulent,bioaccumulais,bioaccumulais,bioaccumulait,bioaccumulions,bioaccumuliez,bioaccumulaient,bioaccumulai,bioaccumulas,bioaccumula,bioaccumulâmes,bioaccumulâtes,bioaccumulèrent,bioaccumulerai,bioaccumuleras,bioaccumulera,bioaccumulerons,bioaccumulerez,bioaccumuleront,bioaccumulerais,bioaccumulerais,bioaccumulerait,bioaccumulerions,bioaccumuleriez,bioaccumuleraient,bioaccumule,bioaccumules,bioaccumule,bioaccumulions,bioaccumuliez,bioaccumulent,bioaccumulasse,bioaccumulasses,bioaccumulât,bioaccumulassions,bioaccumulassiez,bioaccumulassent,,bioaccumule,,bioaccumulons,bioaccumulez,
attiser,attisant,attisant,attisé,avoir,attise,attises,attise,attisons,attisez,attisent,attisais,attisais,attisait,attisions,attisiez,attisaient,attisai,attisas,attisa,attisâmes,attisâtes,attisèrent,attiserai,attiseras,attisera,attiserons,attiserez,attiseront,attiserais,attiserais,attiserait,attiserions,attiseriez,attiseraient,attise,attises,attise,attisions,attisiez,attisent,attisasse,attisasses,attisât,attisassions,attisassiez,attisassent,,attise,,attisons,attisez,
axer,axant,axant,axé,avoir,axe,axes,axe,axons,axez,axent,axais,axais,axait,axions,axiez,axaient,axai,axas,axa,axâmes,axâtes,axèrent,axerai,axeras,axera,axerons,axerez,axeront,axerais,axerais,axerait,axerions,axeriez,axeraient,axe,axes,axe,axions,axiez,axent,axasse,axasses,axât,axassions,axassiez,axassent,,axe,,axons,axez,
blablater,blablatant,blablatant,blablaté,avoir,blablate,blablates,blablate,blablatons,blablatez,blablatent,blablatais,blablatais,blablatait,blablations,blablatiez,blablataient,blablatai,blablatas,blablata,blablatâmes,blablatâtes,blablatèrent,blablaterai,blablateras,blablatera,blablaterons,blablaterez,blablateront,blablaterais,blablaterais,blablaterait,blablaterions,blablateriez,blablateraient,blablate,blablates,blablate,blablations,blablatiez,blablatent,blablatasse,blablatasses,blablatât,blablatassions,blablatassiez,blablatassent,,blablate,,blablatons,blablatez,
avoir,ayant,ayant,eu,avoir,ai,as,a,avons,avez,ont,avais,avais,avait,avions,aviez,avaient,eus,eus,eut,eûmes,eûtes,eurent,aurai,auras,aura,aurons,aurez,auront,aurais,aurais,aurait,aurions,auriez,auraient,aie,aies,ait,ayons,ayez,aient,eusse,eusses,eût,eussions,eussiez,eussent,,aie,,ayons,ayez,
attrouper,attroupant,attroupant,attroupé,avoir;être,attroupe,attroupes,attroupe,attroupons,attroupez,attroupent,attroupais,attroupais,attroupait,attroupions,attroupiez,attroupaient,attroupai,attroupas,attroupa,attroupâmes,attroupâtes,attroupèrent,attrouperai,attrouperas,attroupera,attrouperons,attrouperez,attrouperont,attrouperais,attrouperais,attrouperait,attrouperions,attrouperiez,attrouperaient,attroupe,attroupes,attroupe,attroupions,attroupiez,attroupent,attroupasse,attroupasses,attroupât,attroupassions,attroupassiez,attroupassent,,attroupe,,attroupons,attroupez,
barrir,barrissant,barrissant,barri,avoir,barris,barris,barrit,barrissons,barrissez,barrissent,barrissais,barrissais,barrissait,barrissions,barrissiez,barrissaient,barris,barris,barrit,barrîmes,barrîtes,barrirent,barrirai,barriras,barrira,barrirons,barrirez,barriront,barrirais,barrirais,barrirait,barririons,barririez,barriraient,barrisse,barrisses,barrisse,barrissions,barrissiez,barrissent,barrisse,barrisses,barrît,barrissions,barrissiez,barrissent,,barris,,barrissons,barrissez,
avertir,avertissant,avertissant,averti,avoir,avertis,avertis,avertit,avertissons,avertissez,avertissent,avertissais,avertissais,avertissait,avertissions,avertissiez,avertissaient,avertis,avertis,avertit,avertîmes,avertîtes,avertirent,avertirai,avertiras,avertira,avertirons,avertirez,avertiront,avertirais,avertirais,avertirait,avertirions,avertiriez,avertiraient,avertisse,avertisses,avertisse,avertissions,avertissiez,avertissent,avertisse,avertisses,avertît,avertissions,avertissiez,avertissent,,avertis,,avertissons,avertissez,
baratiner,baratinant,baratinant,baratiné,avoir,baratine,baratines,baratine,baratinons,baratinez,baratinent,baratinais,baratinais,baratinait,baratinions,baratiniez,baratinaient,baratinai,baratinas,baratina,baratinâmes,baratinâtes,baratinèrent,baratinerai,baratineras,baratinera,baratinerons,baratinerez,baratineront,baratinerais,baratinerais,baratinerait,baratinerions,baratineriez,baratineraient,baratine,baratines,baratine,baratinions,baratiniez,baratinent,baratinasse,baratinasses,baratinât,baratinassions,baratinassiez,baratinassent,,baratine,,baratinons,baratinez,
bâtonner,bâtonnant,bâtonnant,bâtonné,avoir,bâtonne,bâtonnes,bâtonne,bâtonnons,bâtonnez,bâtonnent,bâtonnais,bâtonnais,bâtonnait,bâtonnions,bâtonniez,bâtonnaient,bâtonnai,bâtonnas,bâtonna,bâtonnâmes,bâtonnâtes,bâtonnèrent,bâtonnerai,bâtonneras,bâtonnera,bâtonnerons,bâtonnerez,bâtonneront,bâtonnerais,bâtonnerais,bâtonnerait,bâtonnerions,bâtonneriez,bâtonneraient,bâtonne,bâtonnes,bâtonne,bâtonnions,bâtonniez,bâtonnent,bâtonnasse,bâtonnasses,bâtonnât,bâtonnassions,bâtonnassiez,bâtonnassent,,bâtonne,,bâtonnons,bâtonnez,
bayer,bayant,bayant,bayé,avoir,baye;baie,bayes;baies,baye;baie,bayons,bayez,bayent;baient,bayais,bayais,bayait,bayions,bayiez,bayaient,bayai,bayas,baya,bayâmes,bayâtes,bayèrent,bayerai;baierai,bayeras;baieras,bayera;baiera,bayerons;baierons,bayerez;baierez,bayeront;baieront,bayerais;baierais,bayerais;baierais,bayerait;baierait,bayerions;baierions,bayeriez;baieriez,bayeraient;baieraient,baye;baie,bayes;baies,baye;baie,bayions,bayiez,bayent;baient,bayasse,bayasses,bayât,bayassions,bayassiez,bayassent,,baye;baie,,bayons,bayez,
ballotter,ballottant,ballottant,ballotté,avoir,ballotte,ballottes,ballotte,ballottons,ballottez,ballottent,ballottais,ballottais,ballottait,ballottions,ballottiez,ballottaient,ballottai,ballottas,ballotta,ballottâmes,ballottâtes,ballottèrent,ballotterai,ballotteras,ballottera,ballotterons,ballotterez,ballotteront,ballotterais,ballotterais,ballotterait,ballotterions,ballotteriez,ballotteraient,ballotte,ballottes,ballotte,ballottions,ballottiez,ballottent,ballottasse,ballottasses,ballottât,ballottassions,ballottassiez,ballottassent,,ballotte,,ballottons,ballottez,
biseauter,biseautant,biseautant,biseauté,avoir,biseaute,biseautes,biseaute,biseautons,biseautez,biseautent,biseautais,biseautais,biseautait,biseautions,biseautiez,biseautaient,biseautai,biseautas,biseauta,biseautâmes,biseautâtes,biseautèrent,biseauterai,biseauteras,biseautera,biseauterons,biseauterez,biseauteront,biseauterais,biseauterais,biseauterait,biseauterions,biseauteriez,biseauteraient,biseaute,biseautes,biseaute,biseautions,biseautiez,biseautent,biseautasse,biseautasses,biseautât,biseautassions,biseautassiez,biseautassent,,biseaute,,biseautons,biseautez,
avaler,avalant,avalant,avalé,avoir,avale,avales,avale,avalons,avalez,avalent,avalais,avalais,avalait,avalions,avaliez,avalaient,avalai,avalas,avala,avalâmes,avalâtes,avalèrent,avalerai,avaleras,avalera,avalerons,avalerez,avaleront,avalerais,avalerais,avalerait,avalerions,avaleriez,avaleraient,avale,avales,avale,avalions,avaliez,avalent,avalasse,avalasses,avalât,avalassions,avalassiez,avalassent,,avale,,avalons,avalez,
barbifier,barbifiant,barbifiant,barbifié,avoir,barbifie,barbifies,barbifie,barbifions,barbifiez,barbifient,barbifiais,barbifiais,barbifiait,barbifiions,barbifiiez,barbifiaient,barbifiai,barbifias,barbifia,barbifiâmes,barbifiâtes,barbifièrent,barbifierai,barbifieras,barbifiera,barbifierons,barbifierez,barbifieront,barbifierais,barbifierais,barbifierait,barbifierions,barbifieriez,barbifieraient,barbifie,barbifies,barbifie,barbifiions,barbifiiez,barbifient,barbifiasse,barbifiasses,barbifiât,barbifiassions,barbifiassiez,barbifiassent,,barbifie,,barbifions,barbifiez,
barbouiller,barbouillant,barbouillant,barbouillé,avoir,barbouille,barbouilles,barbouille,barbouillons,barbouillez,barbouillent,barbouillais,barbouillais,barbouillait,barbouillions,barbouilliez,barbouillaient,barbouillai,barbouillas,barbouilla,barbouillâmes,barbouillâtes,barbouillèrent,barbouillerai,barbouilleras,barbouillera,barbouillerons,barbouillerez,barbouilleront,barbouillerais,barbouillerais,barbouillerait,barbouillerions,barbouilleriez,barbouilleraient,barbouille,barbouilles,barbouille,barbouillions,barbouilliez,barbouillent,barbouillasse,barbouillasses,barbouillât,barbouillassions,barbouillassiez,barbouillassent,,barbouille,,barbouillons,barbouillez,
automatiser,automatisant,automatisant,automatisé,avoir,automatise,automatises,automatise,automatisons,automatisez,automatisent,automatisais,automatisais,automatisait,automatisions,automatisiez,automatisaient,automatisai,automatisas,automatisa,automatisâmes,automatisâtes,automatisèrent,automatiserai,automatiseras,automatisera,automatiserons,automatiserez,automatiseront,automatiserais,automatiserais,automatiserait,automatiserions,automatiseriez,automatiseraient,automatise,automatises,automatise,automatisions,automatisiez,automatisent,automatisasse,automatisasses,automatisât,automatisassions,automatisassiez,automatisassent,,automatise,,automatisons,automatisez,
avérer,avérant,avérant,avéré,avoir,avère,avères,avère,avérons,avérez,avèrent,avérais,avérais,avérait,avérions,avériez,avéraient,avérai,avéras,avéra,avérâmes,avérâtes,avérèrent,avèrerai;avérerai,avèreras;avéreras,avèrera;avérera,avèrerons;avérerons,avèrerez;avérerez,avèreront;avéreront,avèrerais;avérerais,avèrerais;avérerais,avèrerait;avérerait,avèrerions;avérerions,avèreriez;avéreriez,avèreraient;avéreraient,avère,avères,avère,avérions,avériez,avèrent,avérasse,avérasses,avérât,avérassions,avérassiez,avérassent,,avère,,avérons,avérez,
autonomiser,autonomisant,autonomisant,autonomisé,avoir,autonomise,autonomises,autonomise,autonomisons,autonomisez,autonomisent,autonomisais,autonomisais,autonomisait,autonomisions,autonomisiez,autonomisaient,autonomisai,autonomisas,autonomisa,autonomisâmes,autonomisâtes,autonomisèrent,autonomiserai,autonomiseras,autonomisera,autonomiserons,autonomiserez,autonomiseront,autonomiserais,autonomiserais,autonomiserait,autonomiserions,autonomiseriez,autonomiseraient,autonomise,autonomises,autonomise,autonomisions,autonomisiez,autonomisent,autonomisasse,autonomisasses,autonomisât,autonomisassions,autonomisassiez,autonomisassent,,autonomise,,autonomisons,autonomisez,
béatifier,béatifiant,béatifiant,béatifié,avoir,béatifie,béatifies,béatifie,béatifions,béatifiez,béatifient,béatifiais,béatifiais,béatifiait,béatifiions,béatifiiez,béatifiaient,béatifiai,béatifias,béatifia,béatifiâmes,béatifiâtes,béatifièrent,béatifierai,béatifieras,béatifiera,béatifierons,béatifierez,béatifieront,béatifierais,béatifierais,béatifierait,béatifierions,béatifieriez,béatifieraient,béatifie,béatifies,béatifie,béatifiions,béatifiiez,béatifient,béatifiasse,béatifiasses,béatifiât,béatifiassions,béatifiassiez,béatifiassent,,béatifie,,béatifions,béatifiez,
aveugler,aveuglant,aveuglant,aveuglé,avoir,aveugle,aveugles,aveugle,aveuglons,aveuglez,aveuglent,aveuglais,aveuglais,aveuglait,aveuglions,aveugliez,aveuglaient,aveuglai,aveuglas,aveugla,aveuglâmes,aveuglâtes,aveuglèrent,aveuglerai,aveugleras,aveuglera,aveuglerons,aveuglerez,aveugleront,aveuglerais,aveuglerais,aveuglerait,aveuglerions,aveugleriez,aveugleraient,aveugle,aveugles,aveugle,aveuglions,aveugliez,aveuglent,aveuglasse,aveuglasses,aveuglât,aveuglassions,aveuglassiez,aveuglassent,,aveugle,,aveuglons,aveuglez,
blâmer,blâmant,blâmant,blâmé,avoir,blâme,blâmes,blâme,blâmons,blâmez,blâment,blâmais,blâmais,blâmait,blâmions,blâmiez,blâmaient,blâmai,blâmas,blâma,blâmâmes,blâmâtes,blâmèrent,blâmerai,blâmeras,blâmera,blâmerons,blâmerez,blâmeront,blâmerais,blâmerais,blâmerait,blâmerions,blâmeriez,blâmeraient,blâme,blâmes,blâme,blâmions,blâmiez,blâment,blâmasse,blâmasses,blâmât,blâmassions,blâmassiez,blâmassent,,blâme,,blâmons,blâmez,
baigner,baignant,baignant,baigné,avoir,baigne,baignes,baigne,baignons,baignez,baignent,baignais,baignais,baignait,baignions,baigniez,baignaient,baignai,baignas,baigna,baignâmes,baignâtes,baignèrent,baignerai,baigneras,baignera,baignerons,baignerez,baigneront,baignerais,baignerais,baignerait,baignerions,baigneriez,baigneraient,baigne,baignes,baigne,baignions,baigniez,baignent,baignasse,baignasses,baignât,baignassions,baignassiez,baignassent,,baigne,,baignons,baignez,
banaliser,banalisant,banalisant,banalisé,avoir,banalise,banalises,banalise,banalisons,banalisez,banalisent,banalisais,banalisais,banalisait,banalisions,banalisiez,banalisaient,banalisai,banalisas,banalisa,banalisâmes,banalisâtes,banalisèrent,banaliserai,banaliseras,banalisera,banaliserons,banaliserez,banaliseront,banaliserais,banaliserais,banaliserait,banaliserions,banaliseriez,banaliseraient,banalise,banalises,banalise,banalisions,banalisiez,banalisent,banalisasse,banalisasses,banalisât,banalisassions,banalisassiez,banalisassent,,banalise,,banalisons,banalisez,
avaliser,avalisant,avalisant,avalisé,avoir,avalise,avalises,avalise,avalisons,avalisez,avalisent,avalisais,avalisais,avalisait,avalisions,avalisiez,avalisaient,avalisai,avalisas,avalisa,avalisâmes,avalisâtes,avalisèrent,avaliserai,avaliseras,avalisera,avaliserons,avaliserez,avaliseront,avaliserais,avaliserais,avaliserait,avaliserions,avaliseriez,avaliseraient,avalise,avalises,avalise,avalisions,avalisiez,avalisent,avalisasse,avalisasses,avalisât,avalisassions,avalisassiez,avalisassent,,avalise,,avalisons,avalisez,
bananer,bananant,bananant,banané,être,banane,bananes,banane,bananons,bananez,bananent,bananais,bananais,bananait,bananions,bananiez,bananaient,bananai,bananas,banana,bananâmes,bananâtes,bananèrent,bananerai,bananeras,bananera,bananerons,bananerez,bananeront,bananerais,bananerais,bananerait,bananerions,bananeriez,bananeraient,banane,bananes,banane,bananions,bananiez,bananent,bananasse,bananasses,bananât,bananassions,bananassiez,bananassent,,banane,,bananons,bananez,
attribuer,attribuant,attribuant,attribué,avoir,attribue,attribues,attribue,attribuons,attribuez,attribuent,attribuais,attribuais,attribuait,attribuions,attribuiez,attribuaient,attribuai,attribuas,attribua,attribuâmes,attribuâtes,attribuèrent,attribuerai,attribueras,attribuera,attribuerons,attribuerez,attribueront,attribuerais,attribuerais,attribuerait,attribuerions,attribueriez,attribueraient,attribue,attribues,attribue,attribuions,attribuiez,attribuent,attribuasse,attribuasses,attribuât,attribuassions,attribuassiez,attribuassent,,attribue,,attribuons,attribuez,
balancer,balançant,balançant,balancé,avoir,balance,balances,balance,balançons,balancez,balancent,balançais,balançais,balançait,balancions,balanciez,balançaient,balançai,balanças,balança,balançâmes,balançâtes,balancèrent,balancerai,balanceras,balancera,balancerons,balancerez,balanceront,balancerais,balancerais,balancerait,balancerions,balanceriez,balanceraient,balance,balances,balance,balancions,balanciez,balancent,balançasse,balançasses,balançât,balançassions,balançassiez,balançassent,,balance,,balançons,balancez,
bader,badant,badant,badé,avoir,bade,bades,bade,badons,badez,badent,badais,badais,badait,badions,badiez,badaient,badai,badas,bada,badâmes,badâtes,badèrent,baderai,baderas,badera,baderons,baderez,baderont,baderais,baderais,baderait,baderions,baderiez,baderaient,bade,bades,bade,badions,badiez,badent,badasse,badasses,badât,badassions,badassiez,badassent,,bade,,badons,badez,
avantager,avantageant,avantageant,avantagé,avoir,avantage,avantages,avantage,avantageons,avantagez,avantagent,avantageais,avantageais,avantageait,avantagions,avantagiez,avantageaient,avantageai,avantageas,avantagea,avantageâmes,avantageâtes,avantagèrent,avantagerai,avantageras,avantagera,avantagerons,avantagerez,avantageront,avantagerais,avantagerais,avantagerait,avantagerions,avantageriez,avantageraient,avantage,avantages,avantage,avantagions,avantagiez,avantagent,avantageasse,avantageasses,avantageât,avantageassions,avantageassiez,avantageassent,,avantage,,avantageons,avantagez,
bicher,bichant,bichant,biché,avoir,biche,biches,biche,bichons,bichez,bichent,bichais,bichais,bichait,bichions,bichiez,bichaient,bichai,bichas,bicha,bichâmes,bichâtes,bichèrent,bicherai,bicheras,bichera,bicherons,bicherez,bicheront,bicherais,bicherais,bicherait,bicherions,bicheriez,bicheraient,biche,biches,biche,bichions,bichiez,bichent,bichasse,bichasses,bichât,bichassions,bichassiez,bichassent,,biche,,bichons,bichez,
bazarder,bazardant,bazardant,bazardé,avoir,bazarde,bazardes,bazarde,bazardons,bazardez,bazardent,bazardais,bazardais,bazardait,bazardions,bazardiez,bazardaient,bazardai,bazardas,bazarda,bazardâmes,bazardâtes,bazardèrent,bazarderai,bazarderas,bazardera,bazarderons,bazarderez,bazarderont,bazarderais,bazarderais,bazarderait,bazarderions,bazarderiez,bazarderaient,bazarde,bazardes,bazarde,bazardions,bazardiez,bazardent,bazardasse,bazardasses,bazardât,bazardassions,bazardassiez,bazardassent,,bazarde,,bazardons,bazardez,
bifurquer,bifurquant,bifurquant,bifurqué,avoir,bifurque,bifurques,bifurque,bifurquons,bifurquez,bifurquent,bifurquais,bifurquais,bifurquait,bifurquions,bifurquiez,bifurquaient,bifurquai,bifurquas,bifurqua,bifurquâmes,bifurquâtes,bifurquèrent,bifurquerai,bifurqueras,bifurquera,bifurquerons,bifurquerez,bifurqueront,bifurquerais,bifurquerais,bifurquerait,bifurquerions,bifurqueriez,bifurqueraient,bifurque,bifurques,bifurque,bifurquions,bifurquiez,bifurquent,bifurquasse,bifurquasses,bifurquât,bifurquassions,bifurquassiez,bifurquassent,,bifurque,,bifurquons,bifurquez,
bavasser,bavassant,bavassant,bavassé,avoir,bavasse,bavasses,bavasse,bavassons,bavassez,bavassent,bavassais,bavassais,bavassait,bavassions,bavassiez,bavassaient,bavassai,bavassas,bavassa,bavassâmes,bavassâtes,bavassèrent,bavasserai,bavasseras,bavassera,bavasserons,bavasserez,bavasseront,bavasserais,bavasserais,bavasserait,bavasserions,bavasseriez,bavasseraient,bavasse,bavasses,bavasse,bavassions,bavassiez,bavassent,bavassasse,bavassasses,bavassât,bavassassions,bavassassiez,bavassassent,,bavasse,,bavassons,bavassez,
baptiser,baptisant,baptisant,baptisé,avoir,baptise,baptises,baptise,baptisons,baptisez,baptisent,baptisais,baptisais,baptisait,baptisions,baptisiez,baptisaient,baptisai,baptisas,baptisa,baptisâmes,baptisâtes,baptisèrent,baptiserai,baptiseras,baptisera,baptiserons,baptiserez,baptiseront,baptiserais,baptiserais,baptiserait,baptiserions,baptiseriez,baptiseraient,baptise,baptises,baptise,baptisions,baptisiez,baptisent,baptisasse,baptisasses,baptisât,baptisassions,baptisassiez,baptisassent,,baptise,,baptisons,baptisez,
auditionner,auditionnant,auditionnant,auditionné,avoir,auditionne,auditionnes,auditionne,auditionnons,auditionnez,auditionnent,auditionnais,auditionnais,auditionnait,auditionnions,auditionniez,auditionnaient,auditionnai,auditionnas,auditionna,auditionnâmes,auditionnâtes,auditionnèrent,auditionnerai,auditionneras,auditionnera,auditionnerons,auditionnerez,auditionneront,auditionnerais,auditionnerais,auditionnerait,auditionnerions,auditionneriez,auditionneraient,auditionne,auditionnes,auditionne,auditionnions,auditionniez,auditionnent,auditionnasse,auditionnasses,auditionnât,auditionnassions,auditionnassiez,auditionnassent,,auditionne,,auditionnons,auditionnez,
bétonner,bétonnant,bétonnant,bétonné,avoir,bétonne,bétonnes,bétonne,bétonnons,bétonnez,bétonnent,bétonnais,bétonnais,bétonnait,bétonnions,bétonniez,bétonnaient,bétonnai,bétonnas,bétonna,bétonnâmes,bétonnâtes,bétonnèrent,bétonnerai,bétonneras,bétonnera,bétonnerons,bétonnerez,bétonneront,bétonnerais,bétonnerais,bétonnerait,bétonnerions,bétonneriez,bétonneraient,bétonne,bétonnes,bétonne,bétonnions,bétonniez,bétonnent,bétonnasse,bétonnasses,bétonnât,bétonnassions,bétonnassiez,bétonnassent,,bétonne,,bétonnons,bétonnez,
bisser,bissant,bissant,bissé,avoir,bisse,bisses,bisse,bissons,bissez,bissent,bissais,bissais,bissait,bissions,bissiez,bissaient,bissai,bissas,bissa,bissâmes,bissâtes,bissèrent,bisserai,bisseras,bissera,bisserons,bisserez,bisseront,bisserais,bisserais,bisserait,bisserions,bisseriez,bisseraient,bisse,bisses,bisse,bissions,bissiez,bissent,bissasse,bissasses,bissât,bissassions,bissassiez,bissassent,,bisse,,bissons,bissez,
bidouiller,bidouillant,bidouillant,bidouillé,avoir,bidouille,bidouilles,bidouille,bidouillons,bidouillez,bidouillent,bidouillais,bidouillais,bidouillait,bidouillions,bidouilliez,bidouillaient,bidouillai,bidouillas,bidouilla,bidouillâmes,bidouillâtes,bidouillèrent,bidouillerai,bidouilleras,bidouillera,bidouillerons,bidouillerez,bidouilleront,bidouillerais,bidouillerais,bidouillerait,bidouillerions,bidouilleriez,bidouilleraient,bidouille,bidouilles,bidouille,bidouillions,bidouilliez,bidouillent,bidouillasse,bidouillasses,bidouillât,bidouillassions,bidouillassiez,bidouillassent,,bidouille,,bidouillons,bidouillez,
authentifier,authentifiant,authentifiant,authentifié,avoir,authentifie,authentifies,authentifie,authentifions,authentifiez,authentifient,authentifiais,authentifiais,authentifiait,authentifiions,authentifiiez,authentifiaient,authentifiai,authentifias,authentifia,authentifiâmes,authentifiâtes,authentifièrent,authentifierai,authentifieras,authentifiera,authentifierons,authentifierez,authentifieront,authentifierais,authentifierais,authentifierait,authentifierions,authentifieriez,authentifieraient,authentifie,authentifies,authentifie,authentifiions,authentifiiez,authentifient,authentifiasse,authentifiasses,authentifiât,authentifiassions,authentifiassiez,authentifiassent,,authentifie,,authentifions,authentifiez,
ballonner,ballonnant,ballonnant,ballonné,avoir,ballonne,ballonnes,ballonne,ballonnons,ballonnez,ballonnent,ballonnais,ballonnais,ballonnait,ballonnions,ballonniez,ballonnaient,ballonnai,ballonnas,ballonna,ballonnâmes,ballonnâtes,ballonnèrent,ballonnerai,ballonneras,ballonnera,ballonnerons,ballonnerez,ballonneront,ballonnerais,ballonnerais,ballonnerait,ballonnerions,ballonneriez,ballonneraient,ballonne,ballonnes,ballonne,ballonnions,ballonniez,ballonnent,ballonnasse,ballonnasses,ballonnât,ballonnassions,ballonnassiez,ballonnassent,,ballonne,,ballonnons,ballonnez,
bagarrer,bagarrant,bagarrant,bagarré,avoir,bagarre,bagarres,bagarre,bagarrons,bagarrez,bagarrent,bagarrais,bagarrais,bagarrait,bagarrions,bagarriez,bagarraient,bagarrai,bagarras,bagarra,bagarrâmes,bagarrâtes,bagarrèrent,bagarrerai,bagarreras,bagarrera,bagarrerons,bagarrerez,bagarreront,bagarrerais,bagarrerais,bagarrerait,bagarrerions,bagarreriez,bagarreraient,bagarre,bagarres,bagarre,bagarrions,bagarriez,bagarrent,bagarrasse,bagarrasses,bagarrât,bagarrassions,bagarrassiez,bagarrassent,,bagarre,,bagarrons,bagarrez,
beugler,beuglant,beuglant,beuglé,avoir,beugle,beugles,beugle,beuglons,beuglez,beuglent,beuglais,beuglais,beuglait,beuglions,beugliez,beuglaient,beuglai,beuglas,beugla,beuglâmes,beuglâtes,beuglèrent,beuglerai,beugleras,beuglera,beuglerons,beuglerez,beugleront,beuglerais,beuglerais,beuglerait,beuglerions,beugleriez,beugleraient,beugle,beugles,beugle,beuglions,beugliez,beuglent,beuglasse,beuglasses,beuglât,beuglassions,beuglassiez,beuglassent,,beugle,,beuglons,beuglez,
attifer,attifant,attifant,attifé,avoir,attife,attifes,attife,attifons,attifez,attifent,attifais,attifais,attifait,attifions,attifiez,attifaient,attifai,attifas,attifa,attifâmes,attifâtes,attifèrent,attiferai,attiferas,attifera,attiferons,attiferez,attiferont,attiferais,attiferais,attiferait,attiferions,attiferiez,attiferaient,attife,attifes,attife,attifions,attifiez,attifent,attifasse,attifasses,attifât,attifassions,attifassiez,attifassent,,attife,,attifons,attifez,
blaguer,blaguant,blaguant,blagué,avoir,blague,blagues,blague,blaguons,blaguez,blaguent,blaguais,blaguais,blaguait,blaguions,blaguiez,blaguaient,blaguai,blaguas,blagua,blaguâmes,blaguâtes,blaguèrent,blaguerai,blagueras,blaguera,blaguerons,blaguerez,blagueront,blaguerais,blaguerais,blaguerait,blaguerions,blagueriez,blagueraient,blague,blagues,blague,blaguions,blaguiez,blaguent,blaguasse,blaguasses,blaguât,blaguassions,blaguassiez,blaguassent,,blague,,blaguons,blaguez,
bachoter,bachotant,bachotant,bachoté,avoir,bachote,bachotes,bachote,bachotons,bachotez,bachotent,bachotais,bachotais,bachotait,bachotions,bachotiez,bachotaient,bachotai,bachotas,bachota,bachotâmes,bachotâtes,bachotèrent,bachoterai,bachoteras,bachotera,bachoterons,bachoterez,bachoteront,bachoterais,bachoterais,bachoterait,bachoterions,bachoteriez,bachoteraient,bachote,bachotes,bachote,bachotions,bachotiez,bachotent,bachotasse,bachotasses,bachotât,bachotassions,bachotassiez,bachotassent,,bachote,,bachotons,bachotez,
bâter,bâtant,bâtant,bâté,avoir,bâte,bâtes,bâte,bâtons,bâtez,bâtent,bâtais,bâtais,bâtait,bâtions,bâtiez,bâtaient,bâtai,bâtas,bâta,bâtâmes,bâtâtes,bâtèrent,bâterai,bâteras,bâtera,bâterons,bâterez,bâteront,bâterais,bâterais,bâterait,bâterions,bâteriez,bâteraient,bâte,bâtes,bâte,bâtions,bâtiez,bâtent,bâtasse,bâtasses,bâtât,bâtassions,bâtassiez,bâtassent,,bâte,,bâtons,bâtez,
batifoler,batifolant,batifolant,batifolé,avoir,batifole,batifoles,batifole,batifolons,batifolez,batifolent,batifolais,batifolais,batifolait,batifolions,batifoliez,batifolaient,batifolai,batifolas,batifola,batifolâmes,batifolâtes,batifolèrent,batifolerai,batifoleras,batifolera,batifolerons,batifolerez,batifoleront,batifolerais,batifolerais,batifolerait,batifolerions,batifoleriez,batifoleraient,batifole,batifoles,batifole,batifolions,batifoliez,batifolent,batifolasse,batifolasses,batifolât,batifolassions,batifolassiez,batifolassent,,batifole,,batifolons,batifolez,
